anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
400,다시 만날 수 있을까,1442,1,2142,재회확률 높이는 법,연애/타로,116,8.0,3.91,6.7
400,다시 만날 수 있을까,1442,2,2141,그 사람의 속마음,연애/타로,82,5.7,1.04,4.6
400,다시 만날 수 있을까,1442,3,2236,전연인 어떻게 지낼까,연애/타로,74,5.1,4.11,4.1
400,다시 만날 수 있을까,1442,4,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,62,4.3,3.15,3.4
400,다시 만날 수 있을까,1442,5,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,62,4.3,2.27,3.4
1210,우리 얼마나 오래 갈까?,338,1,2141,그 사람의 속마음,연애/타로,21,6.2,1.14,4.1
1210,우리 얼마나 오래 갈까?,338,2,400,다시 만날 수 있을까,연애/타로,19,5.6,1.3,3.6
1210,우리 얼마나 오래 갈까?,338,3,2441,우리 커플 스킨십 궁합은?,연애/타로,10,3.0,10.46,1.6
2141,그 사람의 속마음,1565,1,17212,그 사람이 연락을 안 하는 이유,연애/타로,85,5.4,2.62,4.4
2141,그 사람의 속마음,1565,2,400,다시 만날 수 있을까,연애/타로,71,4.5,1.05,3.6
2141,그 사람의 속마음,1565,3,2505,지금 날 좋아하는 사람은?,연애/타로,51,3.3,1.54,2.5
2141,그 사람의 속마음,1565,4,18648,내가 관심 있는 거 눈치챘을까?,연애/타로,38,2.4,4.69,1.8
2141,그 사람의 속마음,1565,5,13663,어떤 사람과 사귈 운명일까?,연애/타로,32,2.0,1.29,1.5
2142,재회확률 높이는 법,353,1,400,다시 만날 수 있을까,연애/타로,71,20.1,4.67,16.3
2142,재회확률 높이는 법,353,2,2236,전연인 어떻게 지낼까,연애/타로,25,7.1,5.67,4.8
2142,재회확률 높이는 법,353,3,17212,그 사람이 연락을 안 하는 이유,연애/타로,21,5.9,2.86,3.9
2142,재회확률 높이는 법,353,4,2141,그 사람의 속마음,연애/타로,16,4.5,0.83,2.8
2142,재회확률 높이는 법,353,5,18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,연애/타로,14,4.0,5.61,2.4
2166,그 사람과 나의 사주 궁합,684,1,2141,그 사람의 속마음,연애/타로,34,5.0,0.91,3.6
2166,그 사람과 나의 사주 궁합,684,2,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,30,4.4,2.31,3.1
2166,그 사람과 나의 사주 궁합,684,3,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,28,4.1,6.13,2.8
2166,그 사람과 나의 사주 궁합,684,4,26805,그 사람과 나의 3가지 사주궁합,연애/사주,16,2.3,4.15,1.4
2166,그 사람과 나의 사주 궁합,684,5,1210,우리 얼마나 오래 갈까?,연애/타로,16,2.3,2.48,1.4
2236,전연인 어떻게 지낼까,217,1,400,다시 만날 수 있을까,연애/타로,28,12.9,3.0,9.1
2236,전연인 어떻게 지낼까,217,2,2142,재회확률 높이는 법,연애/타로,27,12.4,6.05,8.7
2236,전연인 어떻게 지낼까,217,3,2141,그 사람의 속마음,연애/타로,18,8.3,1.52,5.3
2328,내 운명의 상대,246,1,23878,내 운명 지금 어디 있을까?,연애/사주,15,6.1,4.56,3.7
2328,내 운명의 상대,246,2,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,11,4.5,2.25,2.5
2328,내 운명의 상대,246,3,13663,어떤 사람과 사귈 운명일까?,연애/타로,10,4.1,2.56,2.2
2505,지금 날 좋아하는 사람은?,639,1,2141,그 사람의 속마음,연애/타로,68,10.6,1.95,8.5
2505,지금 날 좋아하는 사람은?,639,2,13663,어떤 사람과 사귈 운명일까?,연애/타로,19,3.0,1.87,1.9
2505,지금 날 좋아하는 사람은?,639,3,400,다시 만날 수 있을까,연애/타로,17,2.7,0.62,1.7
2505,지금 날 좋아하는 사람은?,639,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,16,2.5,1.65,1.5
2505,지금 날 좋아하는 사람은?,639,5,17212,그 사람이 연락을 안 하는 이유,연애/타로,14,2.2,1.06,1.3
13663,어떤 사람과 사귈 운명일까?,340,1,2141,그 사람의 속마음,연애/타로,27,7.9,1.46,5.5
13663,어떤 사람과 사귈 운명일까?,340,2,2505,지금 날 좋아하는 사람은?,연애/타로,17,5.0,2.36,3.1
13663,어떤 사람과 사귈 운명일까?,340,3,42952,내 사주에 쓰인 운명의 배우자,연애/사주,12,3.5,1.88,2.0
13663,어떤 사람과 사귈 운명일까?,340,4,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,10,2.9,2.09,1.6
13663,어떤 사람과 사귈 운명일까?,340,5,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,10,2.9,1.94,1.6
16378,짝사랑 이루어질까?,72,1,2141,그 사람의 속마음,연애/타로,11,15.3,2.8,8.8
16426,좋아하는 그 사람의 속마음은?,131,1,2141,그 사람의 속마음,연애/타로,21,16.0,2.94,10.7
17212,그 사람이 연락을 안 하는 이유,650,1,2141,그 사람의 속마음,연애/타로,90,13.8,2.54,11.4
17212,그 사람이 연락을 안 하는 이유,650,2,400,다시 만날 수 있을까,연애/타로,44,6.8,1.57,5.1
17212,그 사람이 연락을 안 하는 이유,650,3,2142,재회확률 높이는 법,연애/타로,24,3.7,1.8,2.5
17212,그 사람이 연락을 안 하는 이유,650,4,2505,지금 날 좋아하는 사람은?,연애/타로,13,2.0,0.94,1.2
17212,그 사람이 연락을 안 하는 이유,650,5,18648,내가 관심 있는 거 눈치챘을까?,연애/타로,13,2.0,3.86,1.2
18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,82,1,400,다시 만날 수 있을까,연애/타로,16,19.5,4.53,12.4
18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,82,2,2142,재회확률 높이는 법,연애/타로,11,13.4,6.53,7.7
18142,"다음 연애 언제, 어디서 시작될까?",94,1,2141,그 사람의 속마음,연애/타로,12,12.8,2.34,7.5
18270,그 사람 아직 나한테 미련 있을까?,221,1,400,다시 만날 수 있을까,연애/타로,27,12.2,2.84,8.5
18270,그 사람 아직 나한테 미련 있을까?,221,2,2141,그 사람의 속마음,연애/타로,16,7.2,1.33,4.5
18270,그 사람 아직 나한테 미련 있을까?,221,3,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,13,5.9,3.1,3.5
18467,먼저 연락 올 확률은?,80,1,2141,그 사람의 속마음,연애/타로,10,12.5,2.29,6.9
18639,걔는 나를 연애 상대로 볼까?,50,1,2141,그 사람의 속마음,연애/타로,13,26.0,4.77,15.9
18646,그 사람 나랑 '어디까지' 상상해봤을까?,140,1,2141,그 사람의 속마음,연애/타로,12,8.6,1.57,5.0
18648,내가 관심 있는 거 눈치챘을까?,67,1,2141,그 사람의 속마음,연애/타로,13,19.4,3.56,11.7
18725,헤어진 연인과의 재회 확률,123,1,400,다시 만날 수 있을까,연애/타로,23,18.7,4.34,12.8
18725,헤어진 연인과의 재회 확률,123,2,2142,재회확률 높이는 법,연애/타로,11,8.9,4.35,5.1
19192,타고난 결혼운 + 내 운명의 상대,467,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,34,7.3,3.67,5.3
19192,타고난 결혼운 + 내 운명의 상대,467,2,23878,내 운명 지금 어디 있을까?,연애/사주,22,4.7,3.52,3.1
19192,타고난 결혼운 + 내 운명의 상대,467,3,42952,내 사주에 쓰인 운명의 배우자,연애/사주,15,3.2,1.71,2.0
19192,타고난 결혼운 + 내 운명의 상대,467,4,2166,그 사람과 나의 사주 궁합,연애/사주,14,3.0,2.85,1.8
19192,타고난 결혼운 + 내 운명의 상대,467,5,49255,내 팔자에 새겨진 천년배필,연애/사주,14,3.0,2.81,1.8
20320,(추천할인) 우리 사귈 수 있을까?: 사귈 확률 계산기,80,1,2141,그 사람의 속마음,연애/타로,12,15.0,2.75,8.8
21734,그 사람 속마음 [심화],140,1,2141,그 사람의 속마음,연애/타로,18,12.9,2.36,8.3
21799,월지로 보는 인연: 배우자가 될 3명의 후보,189,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,12,6.3,3.38,3.7
21799,월지로 보는 인연: 배우자가 될 3명의 후보,189,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,11,5.8,3.85,3.3
21964,내 사주에 연애 상대 몇 명 있을까?,907,1,23878,내 운명 지금 어디 있을까?,연애/사주,33,3.6,2.72,2.6
21964,내 사주에 연애 상대 몇 명 있을까?,907,2,42952,내 사주에 쓰인 운명의 배우자,연애/사주,33,3.6,1.94,2.6
21964,내 사주에 연애 상대 몇 명 있을까?,907,3,2141,그 사람의 속마음,연애/타로,31,3.4,0.63,2.4
21964,내 사주에 연애 상대 몇 명 있을까?,907,4,22360,사주로 보는 내 결혼 상대는?,결혼/사주,30,3.3,4.06,2.3
21964,내 사주에 연애 상대 몇 명 있을까?,907,5,31435,지금 날 간절히 원하는 사람 누구일까?,연애/타로,25,2.8,2.81,1.9
22360,사주로 보는 내 결혼 상대는?,524,1,23878,내 운명 지금 어디 있을까?,연애/사주,24,4.6,3.43,3.1
22360,사주로 보는 내 결혼 상대는?,524,2,2141,그 사람의 속마음,연애/타로,16,3.1,0.56,1.9
22360,사주로 보는 내 결혼 상대는?,524,3,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,14,2.7,1.41,1.6
22360,사주로 보는 내 결혼 상대는?,524,4,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,14,2.7,1.35,1.6
22360,사주로 보는 내 결혼 상대는?,524,5,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,14,2.7,4.0,1.6
23878,내 운명 지금 어디 있을까?,444,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,24,5.4,2.73,3.7
23878,내 운명 지금 어디 있을까?,444,2,2141,그 사람의 속마음,연애/타로,24,5.4,0.99,3.7
23878,내 운명 지금 어디 있을까?,444,3,42952,내 사주에 쓰인 운명의 배우자,연애/사주,15,3.4,1.8,2.1
23878,내 운명 지금 어디 있을까?,444,4,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,13,2.9,1.93,1.7
23878,내 운명 지금 어디 있을까?,444,5,2166,그 사람과 나의 사주 궁합,연애/사주,10,2.3,2.14,1.2
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",267,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,14,5.2,2.64,3.1
25297,사주로 보는 그 사람의 속마음,248,1,2141,그 사람의 속마음,연애/타로,18,7.3,1.33,4.6
25297,사주로 보는 그 사람의 속마음,248,2,17212,그 사람이 연락을 안 하는 이유,연애/타로,11,4.4,2.14,2.5
25297,사주로 보는 그 사람의 속마음,248,3,2505,지금 날 좋아하는 사람은?,연애/타로,10,4.0,1.91,2.2
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,812,1,400,다시 만날 수 있을까,연애/타로,114,14.0,3.26,11.8
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,812,2,2142,재회확률 높이는 법,연애/타로,58,7.1,3.48,5.6
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,812,3,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,46,5.7,2.99,4.3
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,812,4,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,36,4.4,4.81,3.2
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,812,5,2141,그 사람의 속마음,연애/타로,33,4.1,0.74,2.9
26214,그 사람도 날 좋아할까?,160,1,2141,그 사람의 속마음,연애/타로,20,12.5,2.29,8.2
26805,그 사람과 나의 3가지 사주궁합,268,1,2166,그 사람과 나의 사주 궁합,연애/사주,13,4.9,4.61,2.9
26805,그 사람과 나의 3가지 사주궁합,268,2,1210,우리 얼마나 오래 갈까?,연애/타로,11,4.1,4.34,2.3
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,396,1,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,12,3.0,2.16,1.7
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,396,2,22360,사주로 보는 내 결혼 상대는?,결혼/사주,11,2.8,3.41,1.6
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,396,3,2202,사주로 보는 직업운,학업직업/사주,11,2.8,2.87,1.6
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,396,4,1210,우리 얼마나 오래 갈까?,연애/타로,10,2.5,2.67,1.4
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,396,5,26805,그 사람과 나의 3가지 사주궁합,연애/사주,10,2.5,4.48,1.4
28894,재회 사주: 그 사람과 다시 만날 운명일까?,1377,1,400,다시 만날 수 있을까,연애/타로,132,9.6,2.23,8.1
28894,재회 사주: 그 사람과 다시 만날 운명일까?,1377,2,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,111,8.1,5.9,6.7
28894,재회 사주: 그 사람과 다시 만날 운명일까?,1377,3,2142,재회확률 높이는 법,연애/타로,76,5.5,2.69,4.4
28894,재회 사주: 그 사람과 다시 만날 운명일까?,1377,4,39091,재회 타로 : 그 사람의 첫 연락,연애/타로,51,3.7,3.75,2.8
28894,재회 사주: 그 사람과 다시 만날 운명일까?,1377,5,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,44,3.2,3.47,2.4
30875,내 사주 배우자 궁(宮)에 있는 사람은?,313,1,42952,내 사주에 쓰인 운명의 배우자,연애/사주,14,4.5,2.38,2.7
30875,내 사주 배우자 궁(宮)에 있는 사람은?,313,2,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,11,3.5,1.77,2.0
30875,내 사주 배우자 궁(宮)에 있는 사람은?,313,3,23878,내 운명 지금 어디 있을까?,연애/사주,11,3.5,2.63,2.0
30875,내 사주 배우자 궁(宮)에 있는 사람은?,313,4,2166,그 사람과 나의 사주 궁합,연애/사주,10,3.2,3.04,1.7
30940,이 사랑의 결말: 그 사람과 나의 인연,119,1,2141,그 사람의 속마음,연애/타로,11,9.2,1.69,5.2
31435,지금 날 간절히 원하는 사람 누구일까?,317,1,2505,지금 날 좋아하는 사람은?,연애/타로,29,9.1,4.32,6.4
31435,지금 날 간절히 원하는 사람 누구일까?,317,2,2141,그 사람의 속마음,연애/타로,19,6.0,1.1,3.9
33556,(미상:33556),257,1,13663,어떤 사람과 사귈 운명일까?,연애/타로,10,3.9,2.45,2.1
33556,(미상:33556),257,2,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,10,3.9,1.96,2.1
33646,(미상:33646),570,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,54,9.5,4.78,7.3
33646,(미상:33646),570,2,23878,내 운명 지금 어디 있을까?,연애/사주,31,5.4,4.07,3.9
33646,(미상:33646),570,3,2141,그 사람의 속마음,연애/타로,25,4.4,0.8,3.0
